Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
64,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,2258,1/6/2017,cz,2wDjpPW3HZdA9quPPmZAMu,spotify:track:2wDjpPW3HZdA9quPPmZAMu,,,,,,
155,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,2257,5/12/2017,at,4dASQiO1Eoo3RJvt74FtXB,spotify:track:4dASQiO1Eoo3RJvt74FtXB,,,,,,
70,3 A.M.,Jesse & Joy,2257,11/24/2017,do,0yyZN5ASdrYu0XYWFzfxUu,spotify:track:0yyZN5ASdrYu0XYWFzfxUu,,,,,,
146,Kokaina,Miami Yacine,2256,7/7/2017,at,2KHbPYI22yWIOgWUsApYIS,spotify:track:2KHbPYI22yWIOgWUsApYIS,,,,,,
4,Ahora Dice,Chris Jeday,2256,8/4/2017,ni,22eADXu8DfOAUEDw4vU8qy,spotify:track:22eADXu8DfOAUEDw4vU8qy,,,,,,
18,No Promises (feat. Demi Lovato),Cheat Codes,2256,6/9/2017,sk,1louJpMmzEicAn7lzDalPW,spotify:track:1louJpMmzEicAn7lzDalPW,,,,,,
200,Demons,Imagine Dragons,2255,3/3/2017,cr,2Oehrcv4Kov0SuIgWyQY9e,spotify:track:2Oehrcv4Kov0SuIgWyQY9e,,,,,,
61,Ni Tú Ni Yo (feat. Gente de Zona),Jennifer Lopez,2255,9/1/2017,pa,5xMzazov0IHYllrc8U2K6F,spotify:track:5xMzazov0IHYllrc8U2K6F,,,,,,
62,Chillax (feat. Ky-Mani Marley),Farruko,2255,7/7/2017,uy,1lxswgIpzV6HhENRvkflES,spotify:track:1lxswgIpzV6HhENRvkflES,,,,,,
54,There's Nothing Holdin' Me Back,Shawn Mendes,2254,6/9/2017,pa,79cuOz3SPQTuFrp8WgftAu,spotify:track:79cuOz3SPQTuFrp8WgftAu,,,,,,
75,Bad Bitch (feat. Ty Dolla $ign),Bebe Rexha,2253,5/12/2017,cz,4ZJPwET9Jrgpkqi4Vo3Yg8,spotify:track:4ZJPwET9Jrgpkqi4Vo3Yg8,,,,,,
179,Setting Fires,The Chainsmokers,2253,1/6/2017,pt,0B8B8cVRFIG1yznoQe7c9s,spotify:track:0B8B8cVRFIG1yznoQe7c9s,,,,,,
150,Break My Habits,Topic,2252,3/3/2017,at,5DunkTHxwszBIlEdBeyU6q,spotify:track:5DunkTHxwszBIlEdBeyU6q,,,,,,
65,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,2252,1/6/2017,cz,0L7loeTIg6akW84aEQZpCT,spotify:track:0L7loeTIg6akW84aEQZpCT,,,,,,
118,Una y Otra Vez,Manuel Medrano,2252,3/3/2017,ec,0bK3jxkbq5cDKWr68KtO8G,spotify:track:0bK3jxkbq5cDKWr68KtO8G,,,,,,
137,Treat You Better,Shawn Mendes,2252,7/7/2017,ec,4Hf7WnR761jpxPr5D46Bcd,spotify:track:4Hf7WnR761jpxPr5D46Bcd,,,,,,
71,Cásate Conmigo,Silvestre Dangond,2252,11/24/2017,gt,6f4UPdDBQONKJBRqwZGjaJ,spotify:track:6f4UPdDBQONKJBRqwZGjaJ,,,,,,
33,Andas En Mi Cabeza,Chino & Nacho,2252,1/6/2017,hn,5mey7CLLuFToM2P68Qu1gF,spotify:track:5mey7CLLuFToM2P68Qu1gF,,,,,,
58,Let Me Love You,DJ Snake,2252,4/14/2017,uy,4pdPtRcBmOSQDlJ3Fk945m,spotify:track:4pdPtRcBmOSQDlJ3Fk945m,,,,,,
